 Precipitation Required to End Current Drought
 January 2014
A drought is considered to be ameliorated when the PHDI is
        raised to -2.0, and ended when above -0.5         
-9.99 indicates that PHDI is currently above -2.0
         1-Mon    2-Mon    3-Mon    4-Mon    5-Mon    6-Mon
01406    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01407    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01408    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01409    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01501    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01502    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01503    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01504    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01601    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01602    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01603    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01604    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01605    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01606    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01607    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01608     9.58    13.93    18.01    21.87    26.09    31.26
01609    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01701    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01702    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01703    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01801     7.81    10.59    14.39    17.34    20.59    23.68
01802    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01803    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01804    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01805    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01806    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01807    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01808    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01901    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01902    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
01903    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02001    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02002    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02003    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02004    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02005    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02006    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02007    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02008    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02009    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02010    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02101    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02102     2.76     3.03     3.82     5.64     8.42    12.41
02103    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02104    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02105    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02106    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02107     2.57     3.24     4.73     6.91    10.08    13.99
02108    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02109    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02201    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02202    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02203    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02204    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02205    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02206    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02207    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02208    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02209    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02210    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02301     4.94     5.51     7.71    10.82    15.22    19.97
02302     5.42     6.37     9.04    12.35    16.51    20.48
02303    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02304    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02305    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02306    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02401    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02402     3.42     4.02     5.18     6.46     8.42    10.86
02403    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02404    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02405    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02406    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02407    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02501    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02502    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02503    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02505    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02506    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02507     3.11     3.50     4.93     7.07    10.57    13.70
02508     2.72     3.42     5.29     7.70    11.49    15.38
02509    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02601     6.65     7.53     8.01     8.33     9.02     9.88
02602     3.69     4.52     5.62     6.57     7.71     8.76
02603    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02604    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02701    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02702    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02801    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02802    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02803    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02901    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02902     2.33     3.03     4.08     5.02     6.47     7.74
02903    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02904    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02905    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
02906     3.22     4.00     4.85     5.43     6.42     7.65
02907     2.56     2.77     3.17     3.83     5.49     7.15
02908    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03001    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03002    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03003    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03004    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03005    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03006    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03007    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03008    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03009    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03010    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03101    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03102    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03103    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03104    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03105    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03106    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03107    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03108    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03201    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03202    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03203    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03204    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03205    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03206    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03207    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03208    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03209    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03301    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03302    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03303    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03304    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03305    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03306    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03307    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03308    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03309    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03310    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03401    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03402    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03403    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03404    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03405    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03406     6.91     9.25    12.68    16.65    22.26    26.72
03407    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03408    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03409    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03501    29.68    35.81    42.85    45.94    47.78    48.60
03502    16.04    20.55    25.33    27.87    29.88    31.27
03503    12.84    15.54    18.28    19.71    20.94    21.56
03504    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03505    10.04    12.47    14.89    15.85    17.06    18.04
03506     8.01     9.18    10.31    11.05    11.83    12.52
03507     5.15     6.06     6.95     7.51     8.54     9.55
03508     7.52     8.64     9.89    11.00    12.41    13.77
03509     5.56     6.27     6.94     7.52     8.41     9.46
03601    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03602    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03603    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03604    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03605    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03606    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03607    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03608    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03609    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03610    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03701    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03801    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03802    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03803    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03804    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03805    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03806    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03807    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03901    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03902    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
03903    -9.99    -9.99    -9.99    -9.99    -9.99    -9.99
